path,model,hit,max_conf
data\images_eval\antiuav_vis\20190925_101846_1_1\000961.jpg,yoloworld,1,0.0571
data\images_eval\antiuav_vis\20190925_101846_1_1\000981.jpg,yoloworld,1,0.0693
data\images_eval\antiuav_vis\20190925_133630_1_6\000001.jpg,yoloworld,1,0.001
data\images_eval\antiuav_vis\20190925_133630_1_6\000021.jpg,yoloworld,1,0.0011
data\images_eval\antiuav_vis\20190925_133630_1_6\000041.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000061.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000081.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000101.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000121.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000141.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000161.jpg,yoloworld,1,0.0028
data\images_eval\antiuav_vis\20190925_133630_1_6\000181.jpg,yoloworld,1,0.0011
data\images_eval\antiuav_vis\20190925_133630_1_6\000201.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000221.jpg,yoloworld,1,0.0015
data\images_eval\antiuav_vis\20190925_133630_1_6\000241.jpg,yoloworld,1,0.0264
data\images_eval\antiuav_vis\20190925_133630_1_6\000261.jpg,yoloworld,1,0.0107
data\images_eval\antiuav_vis\20190925_133630_1_6\000281.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000301.jpg,yoloworld,1,0.0021
data\images_eval\antiuav_vis\20190925_133630_1_6\000321.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000341.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000361.jpg,yoloworld,1,0.0017
data\images_eval\antiuav_vis\20190925_133630_1_6\000381.jpg,yoloworld,1,0.021
data\images_eval\antiuav_vis\20190925_133630_1_6\000401.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000421.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000441.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000461.jpg,yoloworld,1,0.0334
data\images_eval\antiuav_vis\20190925_133630_1_6\000481.jpg,yoloworld,1,0.0309
data\images_eval\antiuav_vis\20190925_133630_1_6\000501.jpg,yoloworld,1,0.001
data\images_eval\antiuav_vis\20190925_133630_1_6\000521.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000541.jpg,yoloworld,1,0.0024
data\images_eval\antiuav_vis\20190925_133630_1_6\000561.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000581.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000601.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000621.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000641.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000661.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000681.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000701.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000721.jpg,yoloworld,1,0.0022
data\images_eval\antiuav_vis\20190925_133630_1_6\000741.jpg,yoloworld,1,0.0291
data\images_eval\antiuav_vis\20190925_133630_1_6\000761.jpg,yoloworld,1,0.0155
data\images_eval\antiuav_vis\20190925_133630_1_6\000781.jpg,yoloworld,1,0.0082
data\images_eval\antiuav_vis\20190925_133630_1_6\000801.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000821.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000841.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000861.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000881.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000901.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000921.jpg,yoloworld,1,0.001
data\images_eval\antiuav_vis\20190925_133630_1_6\000941.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_133630_1_6\000961.jpg,yoloworld,1,0.0013
data\images_eval\antiuav_vis\20190925_133630_1_6\000981.jpg,yoloworld,1,0.0076
data\images_eval\antiuav_vis\20190926_133516_1_9\000001.jpg,yoloworld,1,0.0585
data\images_eval\antiuav_vis\20190926_133516_1_9\000021.jpg,yoloworld,1,0.0013
data\images_eval\antiuav_vis\20190926_133516_1_9\000041.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190926_133516_1_9\000061.jpg,yoloworld,1,0.0441
data\images_eval\antiuav_vis\20190926_133516_1_9\000081.jpg,yoloworld,1,0.0666
data\images_eval\antiuav_vis\20190926_133516_1_9\000101.jpg,yoloworld,1,0.0011
data\images_eval\antiuav_vis\20190926_133516_1_9\000121.jpg,yoloworld,1,0.0643
data\images_eval\antiuav_vis\20190926_133516_1_9\000141.jpg,yoloworld,1,0.0096
data\images_eval\antiuav_vis\20190926_133516_1_9\000161.jpg,yoloworld,1,0.0189
data\images_eval\antiuav_vis\20190926_133516_1_9\000181.jpg,yoloworld,1,0.0028
data\images_eval\antiuav_vis\20190926_133516_1_9\000201.jpg,yoloworld,1,0.0109
data\images_eval\antiuav_vis\20190926_133516_1_9\000221.jpg,yoloworld,1,0.048
data\images_eval\antiuav_vis\20190926_133516_1_9\000241.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190926_133516_1_9\000261.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190926_133516_1_9\000281.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190926_133516_1_9\000301.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190926_141816_1_2\000001.jpg,yoloworld,1,0.0999
data\images_eval\antiuav_vis\20190926_141816_1_2\000021.jpg,yoloworld,1,0.1022
data\images_eval\antiuav_vis\20190926_141816_1_2\000041.jpg,yoloworld,1,0.0899
data\images_eval\antiuav_vis\20190926_141816_1_2\000061.jpg,yoloworld,1,0.1264
data\images_eval\antiuav_vis\20190926_141816_1_2\000081.jpg,yoloworld,1,0.0802
data\images_eval\antiuav_vis\20190926_141816_1_2\000101.jpg,yoloworld,1,0.0922
data\images_eval\antiuav_vis\20190926_141816_1_2\000121.jpg,yoloworld,1,0.1286
data\images_eval\antiuav_vis\20190926_141816_1_2\000141.jpg,yoloworld,1,0.0861
data\images_eval\antiuav_vis\20190926_141816_1_2\000161.jpg,yoloworld,1,0.0686
data\images_eval\antiuav_vis\20190926_141816_1_2\000181.jpg,yoloworld,1,0.0935
data\images_eval\antiuav_vis\20190926_141816_1_2\000201.jpg,yoloworld,1,0.1063
data\images_eval\antiuav_vis\20190926_141816_1_2\000221.jpg,yoloworld,1,0.1074
data\images_eval\antiuav_vis\20190926_141816_1_2\000241.jpg,yoloworld,1,0.1172
data\images_eval\antiuav_vis\20190926_141816_1_2\000261.jpg,yoloworld,1,0.1297
data\images_eval\antiuav_vis\20190926_141816_1_2\000281.jpg,yoloworld,1,0.1007
data\images_eval\antiuav_vis\20190926_141816_1_2\000301.jpg,yoloworld,1,0.1151
data\images_eval\antiuav_vis\20190926_141816_1_2\000321.jpg,yoloworld,1,0.0926
data\images_eval\antiuav_vis\20190926_141816_1_2\000341.jpg,yoloworld,1,0.0729
data\images_eval\antiuav_vis\20190926_141816_1_2\000361.jpg,yoloworld,1,0.0174
data\images_eval\antiuav_vis\20190926_141816_1_2\000381.jpg,yoloworld,1,0.1461
data\images_eval\antiuav_vis\20190926_141816_1_2\000401.jpg,yoloworld,1,0.1251
data\images_eval\antiuav_vis\20190926_141816_1_2\000421.jpg,yoloworld,1,0.1018
data\images_eval\antiuav_vis\20190926_141816_1_2\000441.jpg,yoloworld,1,0.1156
data\images_eval\antiuav_vis\20190926_141816_1_2\000461.jpg,yoloworld,1,0.0729
data\images_eval\antiuav_vis\20190926_141816_1_2\000481.jpg,yoloworld,1,0.1097
data\images_eval\antiuav_vis\20190926_141816_1_2\000501.jpg,yoloworld,1,0.1195
data\images_eval\antiuav_vis\20190926_141816_1_2\000521.jpg,yoloworld,1,0.1153
data\images_eval\antiuav_vis\20190926_141816_1_2\000541.jpg,yoloworld,1,0.1054
data\images_eval\antiuav_vis\20190926_141816_1_2\000561.jpg,yoloworld,1,0.0999
data\images_eval\antiuav_vis\20190926_141816_1_2\000581.jpg,yoloworld,1,0.0842
data\images_eval\antiuav_vis\20190926_141816_1_2\000601.jpg,yoloworld,1,0.0656
data\images_eval\antiuav_vis\20190926_141816_1_2\000621.jpg,yoloworld,1,0.0205
data\images_eval\antiuav_vis\20190926_141816_1_2\000641.jpg,yoloworld,1,0.1217
data\images_eval\antiuav_vis\20190926_141816_1_2\000661.jpg,yoloworld,1,0.1348
data\images_eval\antiuav_vis\20190926_141816_1_2\000681.jpg,yoloworld,1,0.1574
data\images_eval\antiuav_vis\20190926_141816_1_2\000701.jpg,yoloworld,1,0.1339
data\images_eval\antiuav_vis\20190926_141816_1_2\000721.jpg,yoloworld,1,0.1339
data\images_eval\antiuav_vis\20190926_141816_1_2\000741.jpg,yoloworld,1,0.1126
data\images_eval\antiuav_vis\20190926_141816_1_2\000761.jpg,yoloworld,1,0.0386
data\images_eval\antiuav_vis\20190926_141816_1_2\000781.jpg,yoloworld,1,0.0644
data\images_eval\antiuav_vis\20190926_141816_1_2\000801.jpg,yoloworld,1,0.1084
data\images_eval\antiuav_vis\20190926_141816_1_2\000821.jpg,yoloworld,1,0.0388
data\images_eval\antiuav_vis\20190926_141816_1_2\000841.jpg,yoloworld,1,0.096
data\images_eval\antiuav_vis\20190926_141816_1_2\000861.jpg,yoloworld,1,0.105
data\images_eval\antiuav_vis\20190926_141816_1_2\000881.jpg,yoloworld,1,0.103
data\images_eval\antiuav_vis\20190926_141816_1_2\000901.jpg,yoloworld,1,0.0786
data\images_eval\antiuav_vis\20190926_141816_1_2\000921.jpg,yoloworld,1,0.1087
data\images_eval\antiuav_vis\20190926_141816_1_2\000941.jpg,yoloworld,1,0.1482
data\images_eval\antiuav_vis\20190926_141816_1_2\000961.jpg,yoloworld,1,0.2065
data\images_eval\antiuav_vis\20190926_141816_1_2\000981.jpg,yoloworld,1,0.1088
data\images_eval\dronevsbird\drone\DTR (10835).jpg,yoloworld,1,0.0083
data\images_eval\dronevsbird\drone\DTR (10836).jpg,yoloworld,1,0.015
data\images_eval\dronevsbird\drone\DTR (10837).jpg,yoloworld,1,0.0103
data\images_eval\dronevsbird\drone\DTR (10838).jpg,yoloworld,1,0.0845
data\images_eval\dronevsbird\drone\DTR (10839).jpg,yoloworld,1,0.0302
data\images_eval\dronevsbird\drone\DTR (10840).jpg,yoloworld,1,0.0212
data\images_eval\dronevsbird\drone\DTR (10841).jpg,yoloworld,1,0.0043
data\images_eval\dronevsbird\drone\DTR (10842).jpg,yoloworld,1,0.0028
data\images_eval\dronevsbird\drone\DTR (10843).jpg,yoloworld,1,0.052
data\images_eval\dronevsbird\drone\DTR (10844).jpg,yoloworld,1,0.0089
data\images_eval\dronevsbird\drone\DTR (10845).jpg,yoloworld,1,0.0088
data\images_eval\dronevsbird\drone\DTR (10846).jpg,yoloworld,1,0.0064
data\images_eval\dronevsbird\drone\DTR (10847).jpg,yoloworld,1,0.0191
data\images_eval\dronevsbird\drone\DTR (10848).jpg,yoloworld,1,0.1746
data\images_eval\dronevsbird\drone\DTR (10849).jpg,yoloworld,1,0.4283
data\images_eval\dronevsbird\drone\DTR (10850).jpg,yoloworld,1,0.0119
data\images_eval\dronevsbird\drone\DTR (10851).jpg,yoloworld,1,0.0752
data\images_eval\dronevsbird\drone\DTR (10852).jpg,yoloworld,1,0.0733
data\images_eval\dronevsbird\drone\DTR (10853).jpg,yoloworld,1,0.1166
data\images_eval\dronevsbird\drone\DTR (10854).jpg,yoloworld,1,0.0137
data\images_eval\dronevsbird\drone\DTR (10855).jpg,yoloworld,1,0.0088
data\images_eval\dronevsbird\drone\DTR (10856).jpg,yoloworld,1,0.0067
data\images_eval\dronevsbird\drone\DTR (10857).jpg,yoloworld,1,0.0097
data\images_eval\dronevsbird\drone\DTR (10858).jpg,yoloworld,1,0.006
data\images_eval\dronevsbird\drone\DTR (10859).jpg,yoloworld,1,0.1548
data\images_eval\dronevsbird\drone\DTR (10860).jpg,yoloworld,1,0.0493
data\images_eval\dronevsbird\drone\DTR (10861).jpg,yoloworld,1,0.0183
data\images_eval\dronevsbird\drone\DTR (10862).jpg,yoloworld,1,0.0387
data\images_eval\dronevsbird\drone\DTR (10863).jpg,yoloworld,1,0.0237
data\images_eval\dronevsbird\drone\DTR (10864).jpg,yoloworld,1,0.0085
data\images_eval\dronevsbird\drone\DTR (10865).jpg,yoloworld,1,0.0043
data\images_eval\dronevsbird\drone\DTR (10866).jpg,yoloworld,1,0.0174
data\images_eval\dronevsbird\drone\DTR (10867).jpg,yoloworld,1,0.0464
data\images_eval\dronevsbird\drone\DTR (10868).jpg,yoloworld,1,0.0117
data\images_eval\dronevsbird\drone\DTR (10869).jpg,yoloworld,1,0.0368
data\images_eval\dronevsbird\drone\DTR (10870).jpg,yoloworld,1,0.0029
data\images_eval\dronevsbird\drone\DTR (10871).jpg,yoloworld,1,0.0267
data\images_eval\dronevsbird\drone\DTR (10872).jpg,yoloworld,1,0.0443
data\images_eval\dronevsbird\drone\DTR (10873).jpg,yoloworld,1,0.0461
data\images_eval\dronevsbird\drone\DTR (10874).jpg,yoloworld,1,0.0046
data\images_eval\dronevsbird\drone\DTR (10875).jpg,yoloworld,1,0.0133
data\images_eval\dronevsbird\drone\DTR (10876).jpg,yoloworld,1,0.0443
data\images_eval\dronevsbird\drone\DTR (10877).jpg,yoloworld,1,0.0218
data\images_eval\dronevsbird\drone\DTR (10878).jpg,yoloworld,1,0.0138
data\images_eval\dronevsbird\drone\DTR (10879).jpg,yoloworld,1,0.0607
data\images_eval\dronevsbird\drone\DTR (10880).jpg,yoloworld,1,0.0669
data\images_eval\dronevsbird\drone\DTR (10881).jpg,yoloworld,1,0.0046
data\images_eval\dronevsbird\drone\DTR (10882).jpg,yoloworld,1,0.0186
data\images_eval\dronevsbird\drone\DTR (10883).jpg,yoloworld,1,0.0063
data\images_eval\dronevsbird\drone\DTR (10884).jpg,yoloworld,1,0.0059
data\images_eval\dronevsbird\drone\DTR (10885).jpg,yoloworld,1,0.0295
data\images_eval\dronevsbird\drone\DTR (10886).jpg,yoloworld,1,0.009
data\images_eval\dronevsbird\drone\DTR (10887).jpg,yoloworld,1,0.0099
data\images_eval\dronevsbird\drone\DTR (10888).jpg,yoloworld,1,0.0654
data\images_eval\dronevsbird\drone\DTR (10889).jpg,yoloworld,1,0.0065
data\images_eval\dronevsbird\drone\DTR (10890).jpg,yoloworld,1,0.031
data\images_eval\dronevsbird\drone\DTR (10891).jpg,yoloworld,1,0.0031
data\images_eval\dronevsbird\drone\DTR (10892).jpg,yoloworld,1,0.0139
data\images_eval\dronevsbird\drone\DTR (10893).jpg,yoloworld,1,0.0211
data\images_eval\dronevsbird\drone\DTR (10894).jpg,yoloworld,1,0.0337
data\images_eval\dronevsbird\drone\DTR (10895).jpg,yoloworld,1,0.0302
data\images_eval\dronevsbird\drone\DTR (10896).jpg,yoloworld,1,0.0102
data\images_eval\dronevsbird\drone\DTR (10897).jpg,yoloworld,1,0.0252
data\images_eval\dronevsbird\drone\DTR (10898).jpg,yoloworld,1,0.0044
data\images_eval\dronevsbird\drone\DTR (10899).jpg,yoloworld,1,0.1537
data\images_eval\dronevsbird\drone\DTR (10900).jpg,yoloworld,1,0.0055
data\images_eval\dronevsbird\drone\DTR (10901).jpg,yoloworld,1,0.0239
data\images_eval\dronevsbird\drone\DTR (10902).jpg,yoloworld,1,0.0058
data\images_eval\dronevsbird\drone\DTR (10903).jpg,yoloworld,1,0.0141
data\images_eval\dronevsbird\drone\DTR (10904).jpg,yoloworld,1,0.0088
data\images_eval\dronevsbird\drone\DTR (10905).jpg,yoloworld,1,0.0076
data\images_eval\dronevsbird\drone\DTR (10906).jpg,yoloworld,1,0.0459
data\images_eval\dronevsbird\drone\DTR (10907).jpg,yoloworld,1,0.0475
data\images_eval\dronevsbird\drone\DTR (10908).jpg,yoloworld,1,0.0667
data\images_eval\dronevsbird\drone\DTR (10909).jpg,yoloworld,1,0.0129
data\images_eval\dronevsbird\drone\DTR (10910).jpg,yoloworld,1,0.0495
data\images_eval\dronevsbird\drone\DTR (10911).jpg,yoloworld,1,0.056
data\images_eval\dronevsbird\drone\DTR (10912).jpg,yoloworld,1,0.0222
data\images_eval\dronevsbird\drone\DTR (10913).jpg,yoloworld,0,0.0
data\images_eval\dronevsbird\drone\DTR (10914).jpg,yoloworld,1,0.0878
data\images_eval\dronevsbird\drone\DTR (10915).jpg,yoloworld,1,0.0464
data\images_eval\dronevsbird\drone\DTR (10916).jpg,yoloworld,1,0.0046
data\images_eval\dronevsbird\drone\DTR (10917).jpg,yoloworld,1,0.0024
data\images_eval\dronevsbird\drone\DTR (10918).jpg,yoloworld,1,0.01
data\images_eval\dronevsbird\drone\DTR (10919).jpg,yoloworld,1,0.0322
data\images_eval\dronevsbird\drone\DTR (10920).jpg,yoloworld,1,0.0328
data\images_eval\dronevsbird\drone\DTR (10921).jpg,yoloworld,1,0.0486
data\images_eval\dronevsbird\drone\DTR (10922).jpg,yoloworld,1,0.0096
data\images_eval\dronevsbird\drone\DTR (10923).jpg,yoloworld,1,0.0359
data\images_eval\dronevsbird\drone\DTR (10924).jpg,yoloworld,1,0.0113
data\images_eval\dronevsbird\drone\DTR (10925).jpg,yoloworld,1,0.067
data\images_eval\dronevsbird\drone\DTR (10926).jpg,yoloworld,1,0.0152
data\images_eval\dronevsbird\drone\DTR (10927).jpg,yoloworld,1,0.0032
data\images_eval\dronevsbird\drone\DTR (10928).jpg,yoloworld,1,0.041
data\images_eval\dronevsbird\drone\DTR (10929).jpg,yoloworld,1,0.0224
data\images_eval\dronevsbird\drone\DTR (10930).jpg,yoloworld,1,0.0113
data\images_eval\dronevsbird\drone\DTR (10931).jpg,yoloworld,1,0.0196
data\images_eval\dronevsbird\drone\DTR (10932).jpg,yoloworld,1,0.0086
data\images_eval\dronevsbird\drone\DTR (10933).jpg,yoloworld,1,0.0747
data\images_eval\dronevsbird\drone\DTR (10934).jpg,yoloworld,1,0.0839
data\images_eval\dronevsbird\neg\BTR (4791).jpg,yoloworld,1,0.0019
data\images_eval\dronevsbird\neg\BTR (4792).jpg,yoloworld,1,0.0138
data\images_eval\dronevsbird\neg\BTR (4793).jpg,yoloworld,1,0.0039
data\images_eval\dronevsbird\neg\BTR (4794).jpg,yoloworld,1,0.0026
data\images_eval\dronevsbird\neg\BTR (4795).jpg,yoloworld,1,0.0049
data\images_eval\dronevsbird\neg\BTR (4796).jpg,yoloworld,1,0.003
data\images_eval\dronevsbird\neg\BTR (4797).jpg,yoloworld,1,0.0024
data\images_eval\dronevsbird\neg\BTR (4798).jpg,yoloworld,1,0.0018
data\images_eval\dronevsbird\neg\BTR (4799).jpg,yoloworld,1,0.0015
data\images_eval\dronevsbird\neg\BTR (4800).jpg,yoloworld,1,0.002
data\images_eval\dronevsbird\neg\BTR (4801).jpg,yoloworld,1,0.0047
data\images_eval\dronevsbird\neg\BTR (4802).jpg,yoloworld,1,0.0048
data\images_eval\dronevsbird\neg\BTR (4803).jpg,yoloworld,1,0.0106
data\images_eval\dronevsbird\neg\BTR (4804).jpg,yoloworld,1,0.0061
data\images_eval\dronevsbird\neg\BTR (4805).jpg,yoloworld,1,0.0261
data\images_eval\dronevsbird\neg\BTR (4806).jpg,yoloworld,1,0.0105
data\images_eval\dronevsbird\neg\BTR (4807).jpg,yoloworld,1,0.0037
data\images_eval\dronevsbird\neg\BTR (4808).jpg,yoloworld,1,0.0062
data\images_eval\dronevsbird\neg\BTR (4809).jpg,yoloworld,1,0.0072
data\images_eval\dronevsbird\neg\BTR (4810).jpg,yoloworld,1,0.0045
data\images_eval\dronevsbird\neg\BTR (4811).jpg,yoloworld,1,0.0125
data\images_eval\dronevsbird\neg\BTR (4812).jpg,yoloworld,1,0.004
data\images_eval\dronevsbird\neg\BTR (4813).jpg,yoloworld,1,0.008
data\images_eval\dronevsbird\neg\BTR (4814).jpg,yoloworld,1,0.0034
data\images_eval\dronevsbird\neg\BTR (4815).jpg,yoloworld,1,0.0026
data\images_eval\dronevsbird\neg\BTR (4816).jpg,yoloworld,1,0.0065
data\images_eval\dronevsbird\neg\BTR (4817).jpg,yoloworld,1,0.0044
data\images_eval\dronevsbird\neg\BTR (4818).jpg,yoloworld,1,0.0063
data\images_eval\dronevsbird\neg\BTR (4819).jpg,yoloworld,1,0.0129
data\images_eval\dronevsbird\neg\BTR (4820).jpg,yoloworld,1,0.0025
data\images_eval\dronevsbird\neg\BTR (4821).jpg,yoloworld,1,0.0017
data\images_eval\dronevsbird\neg\BTR (4822).jpg,yoloworld,1,0.0177
data\images_eval\dronevsbird\neg\BTR (4823).jpg,yoloworld,1,0.0021
data\images_eval\dronevsbird\neg\BTR (4824).jpg,yoloworld,1,0.0091
data\images_eval\dronevsbird\neg\BTR (4825).jpg,yoloworld,1,0.0052
data\images_eval\dronevsbird\neg\BTR (4826).jpg,yoloworld,1,0.0048
data\images_eval\dronevsbird\neg\BTR (4827).jpg,yoloworld,1,0.019
data\images_eval\dronevsbird\neg\BTR (4828).jpg,yoloworld,1,0.0025
data\images_eval\dronevsbird\neg\BTR (4829).jpg,yoloworld,1,0.0023
data\images_eval\dronevsbird\neg\BTR (4830).jpg,yoloworld,1,0.0036
data\images_eval\dronevsbird\neg\BTR (4831).jpg,yoloworld,1,0.0037
data\images_eval\dronevsbird\neg\BTR (4832).jpg,yoloworld,1,0.0083
data\images_eval\dronevsbird\neg\BTR (4833).jpg,yoloworld,1,0.0017
data\images_eval\dronevsbird\neg\BTR (4834).jpg,yoloworld,1,0.0036
data\images_eval\dronevsbird\neg\BTR (4835).jpg,yoloworld,1,0.0038
data\images_eval\dronevsbird\neg\BTR (4836).jpg,yoloworld,0,0.0
data\images_eval\dronevsbird\neg\BTR (4837).jpg,yoloworld,1,0.0011
data\images_eval\dronevsbird\neg\BTR (4838).jpg,yoloworld,1,0.002
data\images_eval\dronevsbird\neg\BTR (4839).jpg,yoloworld,1,0.0061
data\images_eval\dronevsbird\neg\BTR (4840).jpg,yoloworld,1,0.0064
data\images_eval\dronevsbird\neg\BTR (4841).jpg,yoloworld,1,0.0017
data\images_eval\dronevsbird\neg\BTR (4842).jpg,yoloworld,0,0.0
data\images_eval\dronevsbird\neg\BTR (4843).jpg,yoloworld,1,0.0048
data\images_eval\dronevsbird\neg\BTR (4844).jpg,yoloworld,1,0.0063
data\images_eval\dronevsbird\neg\BTR (4845).jpg,yoloworld,1,0.0076
data\images_eval\dronevsbird\neg\BTR (4846).jpg,yoloworld,1,0.0168
